fastq.file.sample.name	raw_snps_file.original.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	SE_PA_15_19	SE_PA_15_19	SE_PA_15_19	SE_PA_15_19	SE_PA_15_19
NA	SE_PA_15_20	SE_PA_15_20	SE_PA_15_20	SE_PA_15_20	SE_PA_15_20
NA	SE_PA_15_21	SE_PA_15_21	SE_PA_15_21	SE_PA_15_21	SE_PA_15_21
NA	SE_PA_15_22	SE_PA_15_22	SE_PA_15_22	SE_PA_15_22	SE_PA_15_22
NA	SE_PA_15_23	SE_PA_15_23	SE_PA_15_23	SE_PA_15_23	SE_PA_15_23
NA	SE_PA_15_24	SE_PA_15_24	SE_PA_15_24	SE_PA_15_24	SE_PA_15_24
NA	SE_PA_15_25	SE_PA_15_25	SE_PA_15_25	SE_PA_15_25	SE_PA_15_25
NA	SE_PA_16_01	SE_PA_16_01	SE_PA_16_01	SE_PA_16_01	SE_PA_16_01
NA	SE_PA_16_02	SE_PA_16_02	SE_PA_16_02	SE_PA_16_02	SE_PA_16_02
NA	SE_PA_16_03	SE_PA_16_03	SE_PA_16_03	SE_PA_16_03	SE_PA_16_03
NA	SE_PA_16_04	SE_PA_16_04	NA	NA	NA
NA	SE_PA_16_05	SE_PA_16_05	SE_PA_16_05	SE_PA_16_05	SE_PA_16_05
NA	SE_PA_16_06	SE_PA_16_06	SE_PA_16_06	SE_PA_16_06	SE_PA_16_06
NA	SE_PA_16_07	SE_PA_16_07	SE_PA_16_07	SE_PA_16_07	SE_PA_16_07
NA	SE_PA_16_08	SE_PA_16_08	SE_PA_16_08	SE_PA_16_08	SE_PA_16_08
NA	SE_PA_16_09	SE_PA_16_09	SE_PA_16_09	SE_PA_16_09	SE_PA_16_09
NA	SE_PA_16_10	SE_PA_16_10	SE_PA_16_10	SE_PA_16_10	SE_PA_16_10
NA	SE_PA_16_11	SE_PA_16_11	SE_PA_16_11	SE_PA_16_11	SE_PA_16_11
NA	SE_PA_16_12	SE_PA_16_12	SE_PA_16_12	SE_PA_16_12	SE_PA_16_12
NA	SE_PA_16_13	SE_PA_16_13	SE_PA_16_13	SE_PA_16_13	SE_PA_16_13
NA	SE_PA_16_14	SE_PA_16_14	SE_PA_16_14	SE_PA_16_14	SE_PA_16_14
NA	SE_PA_16_15	SE_PA_16_15	SE_PA_16_15	SE_PA_16_15	SE_PA_16_15
